,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,marketState,currency,regularMarketChangePercent,regularMarketPrice,gmtOffSetMilliseconds,esgPopulated,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,tradeable,cryptoTradeable,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketTime,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,market,price,ipoExpectedDate,trailingPE,displayName,prevName,nameChangeDate,newListingDate,underlyingSymbol,openInterest
LITE,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-0.42800888,58.16,-18000000,False,1683030600.0,1683549000.0,,,2.436,6.91,5.17,11.2495165,68200000.0,25.388,56.4348,1.7252007,0.030569803,72.4554,-14.295399,-0.19729929,3966511872.0,8.416787,2.290846,15,0,,False,,,2,-0.275103,1676681113.0,58.0,-0.16,-0.25,1676667604,58.93,57.42 - 58.93,57.42,673773,58.41,58.06,59.0,12,8.0,NasdaqGS,USD,58.36,877111,938980,9.43,0.1935153,48.73 - 105.05,-46.890003,-0.4463589,48.73,105.05,,1675949400.0,NMS,Lumentum Holdings Inc.,Lumentum Holdings Inc.,finmb_272054403,America/New_York,EST,us_market,58.16,,23.875204,,,,,,
LITM,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-2.7027001,2.16,-18000000,False,,,,,-0.033,,,,17924800.0,0.365,2.30968,-0.1496799,-0.06480547,2.66467,-0.5046699,-0.18939303,38717568.0,,5.9178085,15,0,,False,,,4,3.7037,1676681489.0,2.24,0.07999992,-0.059999943,1676667600,2.27,2.1335 - 2.27,2.1335,54200,2.22,2.15,2.38,11,9.0,NasdaqCM,CAD,2.27,137904,83630,0.6450001,0.42574266,1.515 - 10.5,-8.34,-0.7942857,1.515,10.5,,,NCM,Snow Lake Resources Ltd.,Snow Lake Resources Ltd.,finmb_576217662,America/New_York,EST,us_market,2.16,,,,,,,,
LITT,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,0.09920862,10.09,-18000000,False,,,,,,,,,34089600.0,-0.614,9.99234,0.097660065,0.009773493,9.82253,0.26747036,0.027230293,429955072.0,,-16.433224,15,0,,False,,,2,,,,,0.010000229,1676667573,10.09,10.06 - 10.09,10.06,4350,10.08,4.04,16.12,8,22.0,NasdaqGM,USD,10.09,115352,51690,0.47000027,0.04885658,9.62 - 10.6,-0.5100002,-0.048113227,9.62,10.6,,,NGM,Logistics Innovation Technologi,Logistics Innovation Technologies Corp.,finmb_706664597,America/New_York,EST,us_market,10.09,,,,,,,,
LIVB,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,0.0,10.38,-18000000,False,,,,,,,,,11610000.0,,10.2904,0.08960056,0.008707199,10.096745,0.28325558,0.02805415,130200496.0,,,15,0,,False,,,2,,,,,0.0,1676576682,10.38,10.38 - 10.38,10.38,30,10.38,10.36,10.45,8,9.0,NasdaqGM,USD,10.38,27413,74560,0.52999973,0.053807076,9.85 - 10.38,0.0,0.0,9.85,10.38,,,NGM,LIV Capital Acquisition Corp. I,LIV Capital Acquisition Corp. II,finmb_1762960719,America/New_York,EST,us_market,10.38,,,,,,,,
LIVE,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,0.0,34.0,-18000000,False,1683635400.0,1684153800.0,0.0,0.0,4.543,0.32,6.27,5.4226475,3168770.0,31.504,31.5234,2.4766006,0.078563884,29.54165,4.458349,0.15091741,107738176.0,106.25,1.079228,15,0,,False,,,2,,,,,0.0,1676580537,34.0,33.95 - 34.0,33.95,1080,34.0,23.0,36.5,10,10.0,NasdaqCM,USD,33.99,6547,3490,11.190001,0.49057433,22.81 - 45.0,-11.0,-0.24444444,22.81,45.0,1481155200.0,1675980000.0,NCM,Live Ventures Incorporated,Live Ventures Incorporated,finmb_1521205,America/New_York,EST,us_market,34.0,,7.484041,,,,,,
LIVN,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,3.0224903,55.9,-18000000,False,1677070800.0,1677070800.0,,,-8.474,2.24,2.27,24.625551,53522700.0,21.819,55.5184,0.38160324,0.0068734554,57.2695,-1.3694992,-0.023913238,2991919104.0,24.955359,2.5619874,15,0,,False,,,2,0.0,1676668887.0,55.9,0.0,1.6400032,1676667605,56.04,53.8 - 56.04,53.8,375404,54.26,21.96,55.81,9,8.0,NasdaqGS,USD,54.33,366545,306800,14.080002,0.33668107,41.82 - 88.0,-32.1,-0.3647727,41.82,88.0,,1677070800.0,NMS,LivaNova PLC,LivaNova PLC,finmb_27283,America/New_York,EST,us_market,55.9,,,,,,,,
LIXT,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-3.4188004,1.13,-18000000,False,1679315400.0,1679661000.0,,,-0.29,,,,16646600.0,0.122,0.7192,0.41079998,0.5711902,0.7224,0.4076,0.5642303,18810658.0,,9.262295,15,0,,False,,,4,3.5398197,1676681825.0,1.17,0.03999996,-0.03999996,1676667604,1.2883,1.082 - 1.2883,1.082,621748,1.17,1.12,1.17,18,18.0,NasdaqCM,USD,1.13,1310080,7748330,0.7,1.6279069,0.43 - 4.95,-3.8199997,-0.77171713,0.43,4.95,1605830400.0,,NCM,"Lixte Biotechnology Holdings, I","Lixte Biotechnology Holdings, Inc.",finmb_29181356,America/New_York,EST,us_market,1.13,,,,,,,,
LIZI,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-5.396038,0.9555,-18000000,False,1678282200.0,1678714200.0,,,-0.461,1.6,0.28,3.4125,51476900.0,4.782,0.90758,0.04791999,0.05279974,0.9241,0.031400025,0.033979036,49186180.0,0.5971875,0.19981179,15,0,,False,,,4,2.5641,1676676187.0,0.98,0.0245,-0.054499984,1676667540,1.01,0.94 - 1.01,0.94,181028,1.01,0.95,0.99,8,12.0,NasdaqGM,CNY,1.0,424404,1094320,0.5755,1.5144737,0.38 - 2.34,-1.3844999,-0.59166664,0.38,2.34,,1668603600.0,NGM,LIZHI INC.,Lizhi Inc.,finmb_641937822,America/New_York,EST,us_market,0.9555,,,,,,,,
LKCO,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-4.016792,0.1601,-18000000,False,1672175108.0,1672175108.0,,,-0.193,,,,492499008.0,0.259,0.18556,-0.025460005,-0.13720632,0.256765,-0.09666501,-0.37647268,78849088.0,,0.6181467,15,0,,False,,,4,6.18364,1676681958.0,0.17,0.0099,-0.006700009,1676667553,0.17,0.1501 - 0.17,0.1501,4387720,0.1668,0.1602,0.1545,8,13.0,NasdaqCM,USD,0.167,2026544,1502440,0.018099993,0.12746474,0.142 - 0.778,-0.6179,-0.794216,0.142,0.778,,1672175108.0,NCM,Luokung Technology Corp,Luokung Technology Corp.,finmb_242746781,America/New_York,EST,us_market,0.1601,,,,,,,,
LKFN,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,1.2705201,70.94,-18000000,False,1682339400.0,1682685000.0,1.28,0.01827266,3.531,3.36,4.4,16.122728,25349200.0,25.763,72.4538,-1.513794,-0.020893231,73.78455,-2.844551,-0.03855212,1798272256.0,21.113096,2.7535613,15,0,,False,,,2,0.0,1676668887.0,70.94,0.0,0.8899994,1676667604,71.15,70.05 - 71.15,70.05,109869,70.05,28.26,113.0,8,11.0,NasdaqGS,USD,70.05,94832,106920,6.8899994,0.1075722,64.05 - 83.57,-12.629997,-0.15113075,64.05,83.57,1675641600.0,1674651602.0,NMS,Lakeland Financial Corporation,Lakeland Financial Corporation,finmb_390846,America/New_York,EST,us_market,70.94,,20.090628,,,,,,
LMAT,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,2.1897848,50.4,-18000000,False,1677186000.0,1677186000.0,0.395,0.0080089215,1.16,1.4,0.93,54.19355,22000900.0,8.64,46.8508,3.549202,0.07575542,47.33565,3.0643501,0.06473662,1108845440.0,36.0,5.8333335,15,0,,False,,,2,0.0,1676668888.0,50.4,0.0,1.0800018,1676667605,50.72,49.07 - 50.72,49.07,110666,49.32,44.49,50.53,9,8.0,NasdaqGM,USD,49.47,72206,78480,12.080002,0.31524014,38.32 - 56.38,-5.9799995,-0.10606597,38.32,56.38,1669852800.0,1677186000.0,NGM,"LeMaitre Vascular, Inc.","LeMaitre Vascular, Inc.",finmb_2567538,America/New_York,EST,us_market,50.4,,43.44828,,,,,,
LMDX,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,3.448283,1.2,-18000000,False,,,,,-2.222,-0.6,-1.32,-0.90909094,165054000.0,1.364,0.9869,0.21310008,0.21592875,1.73734,-0.5373399,-0.3092889,381226816.0,-2.0,0.87976545,15,0,,False,,,4,0.0,1676676690.0,1.2,0.0,0.04000008,1676667600,1.2,1.15 - 1.2,1.15,61539,1.16,1.16,1.2,8,9.0,NasdaqGM,USD,1.15,245454,158300,0.42900002,0.55642027,0.771 - 8.93,-7.7300005,-0.8656215,0.771,8.93,,,NGM,LumiraDx Limited,LumiraDx Limited,finmb_404719950,America/New_York,EST,us_market,1.2,,,,,,,,
LMFA,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,13.793111,1.32,-18000000,False,1680123540.0,1680555540.0,,,-0.498,,-1.18,-1.1186441,13091900.0,0.743,0.73216,0.5878401,0.80288476,0.96643,0.35357004,0.36585167,17281308.0,,1.7765815,15,0,,False,,,4,11.3636,1676681878.0,1.47,0.15,0.16000009,1676667605,1.3357,1.16 - 1.3357,1.16,466698,1.16,1.35,1.47,10,14.0,NasdaqCM,USD,1.18,94267,281480,0.77000004,1.4000001,0.55 - 3.25,-1.93,-0.59384614,0.55,3.25,1539648000.0,1668787200.0,NCM,"LM Funding America, Inc.","LM Funding America, Inc.",finmb_304967968,America/New_York,EST,us_market,1.32,,,,,,,,
LMNL,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-0.9041625,5.48,-18000000,False,1678910400.0,1679342400.0,,,-0.264,-1.35,-0.82,-6.682927,31042600.0,1.884,4.26462,1.2153802,0.28499144,4.828805,0.65119505,0.13485636,170113456.0,-4.0592594,2.908705,15,0,,False,,,2,,,,,-0.05000019,1676667561,5.54,5.46 - 5.54,5.46,2490,5.53,5.43,5.89,10,9.0,NasdaqCM,CAD,5.5,6614,9900,2.38,0.767742,3.1 - 11.1,-5.6200004,-0.50630635,3.1,11.1,1562284800.0,1660134600.0,NCM,Liminal BioSciences Inc.,Liminal BioSciences Inc.,finmb_882426,America/New_York,EST,us_market,5.48,,,,,,,,
LMNR,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,2.6915138,14.88,-18000000,False,1678309200.0,1678741200.0,0.3,0.020703934,-0.84,0.58,0.12,124.0,17684300.0,10.046,13.1952,1.6848001,0.1276828,12.90565,1.97435,0.15298338,263142384.0,25.655174,1.4811866,15,0,,False,,,2,3.8978488,1676674877.0,15.46,0.5799999,0.39000034,1676667604,15.0,14.3425 - 15.0,14.3425,71212,14.49,14.13,15.46,14,11.0,NasdaqGS,USD,14.4552,45931,52070,4.4400005,0.42528743,10.44 - 15.14,-0.26000023,-0.017173067,10.44,15.14,1673568000.0,1671744600.0,NMS,Limoneira Co,Limoneira Company,finmb_3167517,America/New_York,EST,us_market,14.88,,,,,,,,
LMST,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,2.3176317,26.93,-18000000,False,1681815540.0,1682337600.0,,,1.38,1.46,2.29,11.759826,6638630.0,16.019,25.2414,1.6886005,0.066898055,21.86245,5.0675507,0.23179245,205708304.0,18.445206,1.6811287,15,0,,False,,,2,5.0129976,1676669928.0,28.28,1.3500004,0.6100006,1676667524,27.0,26.24 - 27.0,26.24,25655,26.32,26.73,42.8,8,10.0,NasdaqCM,USD,26.33,18308,46920,8.610001,0.4699782,18.32 - 27.0,-0.069999695,-0.0025925813,18.32,27.0,1676937600.0,1674075900.0,NCM,"Limestone Bancorp, Inc.","Limestone Bancorp, Inc.",finmb_4772270,America/New_York,EST,us_market,26.93,,19.514494,,,,,,
LNKB,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-0.6250024,7.95,-18000000,False,1675373406.0,1675373406.0,1.29,0.16125,0.491,,0.59,13.474577,14939600.0,11.204,8.721,-0.7709999,-0.088407286,8.310505,-0.3605051,-0.04337945,118769816.0,,0.70956796,15,0,,False,,,2,,,,,-0.05000019,1676667592,7.97,7.91 - 7.97,7.91,11270,8.0,3.18,8.29,31,9.0,NasdaqCM,USD,7.97,36701,7440,0.855,0.120507404,7.095 - 10.5,-2.5500002,-0.24285716,7.095,10.5,1678838400.0,1675373406.0,NCM,"LINKBANCORP, Inc.","LINKBANCORP, Inc.",finmb_3110709,America/New_York,EST,us_market,7.95,,16.191446,,,,,,
LNSR,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-4.5307403,2.95,-18000000,False,1677677400.0,1678109400.0,,,-2.448,-1.34,-1.87,-1.5775402,11023300.0,5.206,2.87182,0.078180075,0.027223181,5.06321,-2.11321,-0.41736564,32518736.0,-2.2014925,0.5666539,15,0,,False,,,4,0.0,1676667609.0,2.95,0.0,-0.13999987,1676667605,3.13,2.95 - 3.13,2.95,8153,3.09,2.8,4.24,12,14.0,NasdaqCM,USD,3.13,24622,5610,0.79999995,0.372093,2.15 - 8.8,-5.8500004,-0.66477275,2.15,8.8,,1676376000.0,NCM,"LENSAR, Inc.","LENSAR, Inc.",finmb_41699596,America/New_York,EST,us_market,2.95,,,,,,,,
LNTH,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-0.2172051,59.72,-18000000,False,1677157200.0,1677157200.0,,,-0.25,0.89,3.84,15.552084,68832096.0,7.689,54.3504,5.369602,0.098796,65.73815,-6.0181503,-0.0915473,4110652928.0,67.10113,7.7669396,15,0,,False,,,2,2.47823,1676671701.0,61.2,1.48,-0.12999725,1676667604,60.1307,58.905 - 60.1307,58.905,499747,59.85,58.31,61.19,8,8.0,NasdaqGM,USD,59.9,1027993,833320,31.250002,1.0976467,28.47 - 87.47,-27.75,-0.31725162,28.47,87.47,,1677157200.0,NGM,"Lantheus Holdings, Inc.","Lantheus Holdings, Inc.",finmb_8285048,America/New_York,EST,us_market,59.72,,,,,,,,
LNZA,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-23.853207,4.15,-18000000,False,,,,,,,,,,,9.53586,-5.38586,-0.5648007,9.759645,-5.6096454,-0.5747796,,,,15,0,,False,,,4,14.457829,1676679205.0,4.75,0.5999999,-1.2999997,1676667601,5.7,3.96 - 5.7,3.96,180883,5.45,4.42,4.98,12,11.0,NasdaqCM,,5.7,234167,1151450,0.19000006,0.047979813,3.96 - 10.8,-6.65,-0.6157407,3.96,10.8,,,NCM,"LanzaTech Global, Inc.",,finmb_34034878,America/New_York,EST,us_market,4.15,,,,,,,,
LOAN,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-0.35335657,5.64,-18000000,False,1678359540.0,1678708800.0,0.42,0.074204944,0.449,0.53,0.48,11.75,11494900.0,3.438,5.6488,-0.00880003,-0.0015578583,5.56545,0.074549675,0.013395084,64831236.0,10.64151,1.6404886,15,0,,False,,,2,1.59575,1676669694.0,5.73,0.0900002,-0.01999998,1676667604,5.72,5.64 - 5.72,5.64,8370,5.66,5.5,6.44,8,8.0,NasdaqCM,USD,5.6776,15349,10580,0.5699997,0.11242597,5.07 - 6.48,-0.84000015,-0.12962966,5.07,6.48,1673913600.0,1666350300.0,NCM,"Manhattan Bridge Capital, Inc","Manhattan Bridge Capital, Inc.",finmb_399634,America/New_York,EST,us_market,5.64,,12.561247,,,,,,
LOCO,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-0.5705024,12.2,-18000000,False,1678273140.0,1678708800.0,,,0.68,0.86,0.55,22.181818,37049200.0,7.621,11.1744,1.0255995,0.09178116,10.247825,1.9521751,0.19049653,452000224.0,14.186046,1.6008399,15,0,,False,,,2,-0.90163654,1676669574.0,12.09,-0.10999966,-0.07000065,1676667604,12.2837,12.08 - 12.2837,12.08,97663,12.27,12.19,12.59,10,18.0,NasdaqGS,USD,12.28,154480,151150,4.05,0.49693257,8.15 - 13.97,-1.7700005,-0.1267001,8.15,13.97,1667952000.0,1667507400.0,NMS,"El Pollo Loco Holdings, Inc.","El Pollo Loco Holdings, Inc.",finmb_21919911,America/New_York,EST,us_market,12.2,,17.941175,,,,,,
LOGI,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-0.4818427,57.83,-18000000,False,,,0.928,0.015969712,5.51,4.64,3.24,17.848766,160304000.0,13.438,59.9346,-2.104599,-0.035114925,55.34635,2.4836502,0.044874687,9270380544.0,12.463363,4.303468,15,0,,False,,,2,0.01728916,1676681867.0,57.84,0.0099983215,-0.27999878,1676667605,57.97,57.27 - 57.97,57.27,323795,58.11,57.86,57.78,8,10.0,NasdaqGS,USD,57.63,685868,498550,16.02,0.38316193,41.81 - 78.96,-21.129997,-0.2676038,41.81,78.96,1664323200.0,,NMS,Logitech International S.A. - R,Logitech International S.A.,finmb_388005,America/New_York,EST,us_market,57.83,,10.495462,,,,,,
LOOP,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-2.6548648,2.2,-18000000,False,1673625600.0,1673625600.0,,,-0.668,-0.54,-0.83,-2.6506026,47469200.0,1.062,2.4305,-0.23049998,-0.09483644,4.173125,-1.9731247,-0.4728171,104432240.0,-4.074074,2.071563,15,0,,False,,,4,0.0,1676674579.0,2.2,0.0,-0.059999943,1676667604,2.27,2.19 - 2.27,2.19,86720,2.26,2.18,2.21,9,13.0,NasdaqGM,USD,2.26,109468,177850,0.1500001,0.07317078,2.05 - 10.69,-8.49,-0.7942002,2.05,10.69,,1673625600.0,NGM,"Loop Industries, Inc.","Loop Industries, Inc.",finmb_305586999,America/New_York,EST,us_market,2.2,,,,,,,,
LOPE,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,3.007521,117.82,-18000000,False,1683025140.0,1683547200.0,,,5.45,6.84,5.83,20.209263,31147200.0,34.054,110.72,7.0999985,0.06412571,95.85455,21.965446,0.22915392,3669763072.0,17.225145,3.459799,15,0,,False,,,2,-1.54473,1676667943.0,116.0,-1.82,3.4400024,1676667604,121.6,116.11 - 121.6,116.11,452225,114.38,114.92,121.49,8,8.0,NasdaqGS,USD,119.58,205263,199750,39.449997,0.5033813,78.37 - 121.6,-3.7799988,-0.031085517,78.37,121.6,,1676583000.0,NMS,"Grand Canyon Education, Inc.","Grand Canyon Education, Inc.",finmb_44732496,America/New_York,EST,us_market,117.82,,21.61835,,,,,,
LOVE,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,0.17259629,29.02,-18000000,False,1679920200.0,1680265800.0,,,0.96,1.14,2.05,14.156098,15192400.0,7.191,24.2826,4.7374,0.19509442,28.0627,0.9573002,0.034112904,440883456.0,25.45614,4.0356,15,0,,False,,,2,0.7925553,1676680304.0,29.25,0.22999954,0.050001144,1676667605,29.14,28.35 - 29.14,28.35,389734,28.97,27.83,29.05,8,12.0,NasdaqGM,USD,28.91,473514,471850,11.42,0.6488636,17.6 - 63.41,-34.39,-0.5423435,17.6,63.41,,1670419800.0,NGM,The Lovesac Company,The Lovesac Company,finmb_22454382,America/New_York,EST,us_market,29.02,,30.229168,,,,,,
LPCN,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-0.019999318,0.5,-18000000,False,1678195800.0,1678714200.0,,,-0.38,0.42,-0.13,-3.846154,88510800.0,0.219,0.48366,0.016339988,0.033784036,0.59828,-0.09828001,-0.16427092,44255400.0,1.1904762,2.2831051,15,0,,False,,,4,5.84,1676678611.0,0.5292,0.0292,-0.000100016594,1676667597,0.5199,0.49 - 0.5199,0.49,21190,0.5001,0.4901,0.5293,8,9.0,NasdaqCM,USD,0.49,118483,98720,0.13999999,0.38888884,0.36 - 1.89,-1.39,-0.73544973,0.36,1.89,,1659960003.0,NCM,Lipocine Inc.,Lipocine Inc.,finmb_8057882,America/New_York,EST,us_market,0.5,,,,,,,,
LPLA,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,0.72525203,249.99,-18000000,False,1682506740.0,1682942400.0,0.75,0.0030218784,5.529,9.14,18.97,13.178177,79600400.0,17.947,226.4018,23.588211,0.104187384,217.23685,32.75316,0.15077165,19899303936.0,27.351204,13.929347,15,0,,False,,,2,0.047999967,1676668259.0,250.11,0.11999512,1.800003,1676667605,251.15,246.56 - 251.15,246.56,529499,248.19,249.84,250.06,11,8.0,NasdaqGS,USD,247.8,736216,621470,109.34001,0.7773908,140.65 - 271.56,-21.569992,-0.07942993,140.65,271.56,1679961600.0,1675375200.0,NMS,LPL Financial Holdings Inc.,LPL Financial Holdings Inc.,finmb_34120092,America/New_York,EST,us_market,249.99,,45.21433,,,,,,
LPRO,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-0.77692175,8.94,-18000000,False,1677186000.0,1677186000.0,,,1.052,0.92,0.66,13.545453,126300000.0,1.011,7.8636,1.0763998,0.13688385,9.27395,-0.33395004,-0.036009472,1129121920.0,9.717391,8.84273,15,0,,False,,,2,1.78972,1676681335.0,9.1,0.160001,-0.07000065,1676667605,9.05,8.83 - 9.05,8.83,353976,9.01,8.75,8.89,11,9.0,NasdaqGM,USD,8.99,775570,597270,2.8299994,0.46317503,6.11 - 21.12,-12.180001,-0.57670456,6.11,21.12,,1677186000.0,NGM,Open Lending Corporation,Open Lending Corporation,finmb_71987354,America/New_York,EST,us_market,8.94,,8.498098,,,,,,
LPSN,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,-1.1805562,14.23,-18000000,False,1677099600.0,1677531600.0,,,-1.633,0.06,-2.74,-5.1934304,75328096.0,3.611,12.2746,1.9553995,0.15930454,12.74135,1.4886494,0.11683608,1071918784.0,237.16667,3.9407365,15,0,,False,,,2,0.0,1676668887.0,14.23,0.0,-0.17000008,1676667605,14.43,13.82 - 14.43,13.82,595305,14.4,13.7,14.92,8,13.0,NasdaqGS,USD,14.34,809501,860110,6.2699995,0.7876884,7.96 - 26.66,-12.43,-0.46624157,7.96,26.66,,1667858400.0,NMS,"LivePerson, Inc.","LivePerson, Inc.",finmb_30886,America/New_York,EST,us_market,14.23,,,,,,,,
LPTH,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,1.1695895,1.73,-18000000,False,1683748800.0,1684180800.0,,,0.047,0.15,-0.14,-12.357143,36383700.0,1.391,1.3858,0.34420002,0.2483764,1.37045,0.35955,0.26235908,62943800.0,11.533333,1.2437096,15,0,,False,,,4,-1.15607,1676669646.0,1.71,-0.02,0.01999998,1676666978,1.7999,1.67 - 1.7999,1.67,116130,1.71,1.59,1.75,10,10.0,NasdaqCM,USD,1.68,63055,101460,0.74,0.74747473,0.99 - 2.4,-0.6700001,-0.2791667,0.99,2.4,,1675980000.0,NCM,"LightPath Technologies, Inc.","LightPath Technologies, Inc.",finmb_351646,America/New_York,EST,us_market,1.73,,36.808514,,,,,,
LPTX,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-4.7619004,0.6,-18000000,False,1678368600.0,1678714200.0,,,-0.634,-0.57,-0.49,-1.2244898,99021400.0,0.782,0.54678,0.053220034,0.09733354,0.924665,-0.32466495,-0.3511163,59412844.0,-1.0526316,0.7672635,15,0,,False,,,4,-1.666675,1676680649.0,0.59,-0.01000005,-0.029999971,1676667604,0.664,0.6 - 0.664,0.6,1150976,0.63,0.6,0.6058,280,14.0,NasdaqGM,USD,0.641,743868,684610,0.20000002,0.50000006,0.4 - 2.12,-1.5199999,-0.7169811,0.4,2.12,,1668427200.0,NGM,"Leap Therapeutics, Inc.","Leap Therapeutics, Inc.",finmb_118044172,America/New_York,EST,us_market,0.6,,,,,,,,
LQDA,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-1.011377,7.83,-18000000,False,1636056000.0,1636401600.0,,,-1.764,-0.86,-0.73,-10.7260275,64495000.0,1.64,6.4554,1.3745999,0.212938,5.52035,2.30965,0.4183883,504995840.0,-9.1046505,4.77439,15,0,,False,,,2,2.0434208,1676681883.0,7.99,0.15999985,-0.07999992,1676667605,7.915,7.59 - 7.915,7.59,615556,7.91,7.84,8.0,8,8.0,NasdaqCM,USD,7.85,523290,468340,4.5699997,1.4018404,3.26 - 8.79,-0.96000004,-0.10921502,3.26,8.79,,1604906100.0,NCM,Liquidia Corporation,Liquidia Corporation,finmb_22761611,America/New_York,EST,us_market,7.83,,,,,,,,
LQDT,en-US,US,EQUITY,,Nasdaq Real Time Price,True,,CLOSED,USD,0.076395944,13.1,-18000000,False,1683117000.0,1683549000.0,,,0.173,0.55,0.85,15.411765,31658000.0,3.451,14.0794,-0.9793997,-0.0695626,15.7593,-2.6592999,-0.16874479,414719808.0,23.818182,3.7960012,15,0,,False,,,2,3.74046,1676671499.0,13.59,0.49,0.010000229,1676667605,13.41,13.03 - 13.41,13.03,109914,13.09,13.13,13.59,22,8.0,NasdaqGS,USD,13.17,194995,161220,1.71,0.15013169,11.39 - 22.59,-9.49,-0.42009738,11.39,22.59,,1675351800.0,NMS,"Liquidity Services, Inc.","Liquidity Services, Inc.",finmb_137610,America/New_York,EST,us_market,13.1,,75.72255,,,,,,
LRCX,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,-1.1309881,495.66,-18000000,False,1681815540.0,1682337600.0,5.05,0.010073206,23.652,32.42,33.54,14.778175,134936000.0,37.667,469.7532,25.9068,0.05514981,449.03546,46.624542,0.10383265,66882379776.0,15.288712,13.1589985,15,0,,False,,,2,0.14526111,1676681709.0,496.38,0.7200012,-5.669983,1676667604,499.23,487.51 - 499.23,487.51,1384160,501.33,494.81,497.0,11,8.0,NasdaqGS,USD,499.23,1285877,1068280,196.07,0.65446115,299.59 - 577.35,-81.68997,-0.14149125,299.59,577.35,1680652800.0,1674684000.0,NMS,Lam Research Corporation,Lam Research Corporation,finmb_30655,America/New_York,EST,us_market,495.66,,20.956367,,,,,,
LRFC,en-US,US,EQUITY,,Delayed Quote,True,,CLOSED,USD,0.25652575,23.45,-18000000,False,1678395600.0,1678395600.0,0.0,0.0,0.683,0.15,-3.2,-7.328125,2711070.0,40.671,22.52686,0.9231415,0.04097959,19.79617,3.6538315,0.18457265,63574592.0,156.33333,0.5765779,15,0,,False,,,2,,,,,0.060001373,1676667553,23.5,23.1517 - 23.5,23.1517,5050,23.39,22.35,23.48,13,8.0,NasdaqGM,USD,23.1517,9060,4510,9.02,0.62508667,14.43 - 25.52,-2.0699997,-0.08111284,14.43,25.52,,1678395600.0,NGM,,Logan Ridge Finance Corporation,finmb_241123690,America/New_York,EST,us_market,23.45,,34.33382,,,,,,
