Order ID,Order Date,Year,Month,Month Date,Sales,Price,Revenue,Profit,Channel,Product,Category,SubCategory,Supplier,Region,Country
19078,12/23/2020,2020,12,Dec,12,1980000,23760000,23436000,Sosial Media,A. Datum Ultra Compact Digital Camera M190 Silver,Cameras,Digital Cameras,A. Datum Corporation,Asia,Armenia
19120,2/19/2020,2020,2,Feb,10,3000000,30000000,8790000,Sosial Media,The Phone Company Smart phones Expert M400 Pink,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Armenia
19603,8/12/2020,2020,8,Aug,18,3828000,68904000,31302000,Sosial Media,WWI Desktop PC1.60 E1600 Silver,Computers,Desktops,Wide World Importers,Asia,Armenia
19626,5/26/2020,2020,5,May,120,569000,68280000,6960000,Sosial Media,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Pink,Cell phones,Cell phones Accessories,"Contoso, Ltd",Asia,Armenia
19988,9/10/2020,2020,9,Sep,9,2412000,21708000,12807000,Sosial Media,The Phone Company PDA Phone Unlocked 3.5 inches M530 Black,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Armenia
22079,12/6/2020,2020,12,Dec,12,7200000,86400000,30852000,Sosial Media,Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 White,Cameras,Camcorders,"Fabrikam, Inc.",Asia,Armenia
21731,10/18/2021,2021,10,Oct,48,2856000,137088000,288000,Reseller,Contoso 4G MP3 Player E400 Green,Audio,MP4&MP3,"Contoso, Ltd",Asia,Cina
3107,12/30/2021,2021,12,Dec,48,1815000,87120000,30576000,Website,NT Bluetooth Active Headphones E202 White,Audio,Bluetooth Headphones,Northwind Traders,Amerika,USA
6508,2/10/2021,2021,2,Feb,20,4000000,80000000,26340000,Sosial Media,"Adventure Works 20"" Analog CRT TV E45 Brown",TV and Video,Televisions,Adventure Works,Asia,Armenia
9644,2/27/2021,2021,2,Feb,10,1590000,15900000,10730000,Sosial Media,"Proseware Color Ink jet Fax, Copier, Phone M250 White",Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Armenia
11517,7/14/2021,2021,7,Jul,18,2924000,52632000,9738000,Sosial Media,"Adventure Works 20"" CRT TV E15 White",TV and Video,Televisions,Adventure Works,Asia,Armenia
11771,3/13/2021,2021,3,Mar,10,4590000,45900000,35780000,Sosial Media,Contoso Screen 125in M250 White,Computers,Projectors & Screens,"Contoso, Ltd",Asia,Armenia
12240,12/5/2021,2021,12,Dec,12,7428000,89136000,45744000,Sosial Media,Proseware LCD22 M2000 Black,Computers,Monitors,"Proseware, Inc.",Asia,Armenia
13413,8/19/2021,2021,8,Aug,9,338000,3042000,1188000,Sosial Media,Contoso Expandable 2-Handset Cordless Phone System M205 Grey,Cell phones,Home & Office Phones,"Contoso, Ltd",Asia,Armenia
14361,3/25/2021,2021,3,Mar,10,1590000,15900000,13930000,Sosial Media,"Proseware Color Ink Jet Fax, Copier, Phone M250 Grey",Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Armenia
14774,8/19/2021,2021,8,Aug,9,2512000,22608000,12582000,Sosial Media,The Phone Company Touch Screen Phones SAW/Built-in M801 Gold,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Armenia
16376,1/15/2021,2021,1,Jan,10,1600000,16000000,8670000,Sosial Media,"Fabrikam Social Videographer 2/3"" 17mm E100 Orange",Cameras,Camcorders,"Fabrikam, Inc.",Asia,Armenia
17113,12/5/2021,2021,12,Dec,6,3570000,21420000,19098000,Sosial Media,Contoso Telephoto Conversion Lens X400 Black,Cameras,Cameras & Camcorders Accessories,"Contoso, Ltd",Asia,Armenia
17330,11/30/2021,2021,11,Nov,24,4697000,112728000,81216000,Sosial Media,Contoso Finger Touch Screen Phones M30 Black,Cell phones,Touch Screen Phones ,"Contoso, Ltd",Asia,Armenia
18759,10/19/2021,2021,10,Oct,24,6424000,154176000,130752000,Sosial Media,Litware Home Theater System 2.1 Channel E211 Black,TV and Video,Home Theater System,"Litware, Inc.",Asia,Armenia
19110,9/9/2021,2021,9,Sep,9,1748000,15732000,7704000,Sosial Media,The Phone Company Smart phones 160x160 M26 Black,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Armenia
21539,12/16/2021,2021,12,Dec,12,948000,11376000,5388000,Sosial Media,SV 4GB Laptop Memory M65 Yellow,Computers,Computers Accessories,Southridge Video,Asia,Armenia
7075,9/23/2019,2019,9,Sep,4,491000,1964000,1564000,Sosial Media,Proseware LCD17W E202 Black,Computers,Monitors,"Proseware, Inc.",Asia,Australia
957,11/7/2019,2019,11,Nov,6,145000,870000,810000,Sosial Media,Contoso Mini Battery Charger Kit E320 Silver,Cameras,Cameras & Camcorders Accessories,"Contoso, Ltd",Asia,Australia
640,10/25/2019,2019,10,Oct,12,4827000,57924000,-1356000,Sosial Media,Contoso Home Theater System 4.1 Channel M1400 White,TV and Video,Home Theater System,"Contoso, Ltd",Asia,Australia
2166,9/9/2019,2019,9,Sep,9,1798000,16182000,3236400,Sosial Media,Proseware High Speed Laser M2000 Black,Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Australia
3008,10/21/2019,2019,10,Oct,12,1956000,23472000,5892000,Sosial Media,Proseware Office Jet All-in-One Printer M500 Black,Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Australia
3716,7/14/2019,2019,7,Jul,4,167000,668000,-32000,Sosial Media,Proseware CRT15 E10 Black,Computers,Monitors,"Proseware, Inc.",Asia,Australia
4226,6/19/2019,2019,6,Jun,13,28803000,374439000,260338000,Sosial Media,Proseware Projector 1080p LCD86 White,Computers,Projectors & Screens,"Proseware, Inc.",Asia,Australia
4751,9/24/2019,2019,9,Sep,9,2589000,23301000,13059000,Sosial Media,The Phone Company Sharp Touch Screen Phones M910 Grey,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
5029,10/8/2019,2019,10,Oct,12,5789000,69468000,19248000,Sosial Media,WWI Projector 480p DLP12 Silver,Computers,Projectors & Screens,Wide World Importers,Asia,Australia
5355,7/25/2019,2019,7,Jul,9,2589000,23301000,20475000,Sosial Media,The Phone Company Sharp Touch Screen Phones M910 Gold,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
5742,12/27/2019,2019,12,Dec,12,2496000,29952000,17532000,Sosial Media,The Phone Company Smart phones 160x160 M26 Black,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Australia
6252,8/3/2019,2019,8,Aug,9,1336000,12024000,1080000,Sosial Media,Proseware Photo Ink Jet Printer M100 White,Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Australia
8061,8/3/2019,2019,8,Aug,9,84000,756000,324000,Sosial Media,Contoso Education Essentials Bundle M300 Black,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
8726,8/4/2019,2019,8,Aug,4,38000,152000,12000,Sosial Media,SV DVD 38 DVD Storage Binder E25 Silver,Movies,Movie DVD,Southridge Video,Asia,Australia
10119,9/15/2019,2019,9,Sep,4,1023000,4092000,2072000,Sosial Media,SV Car Video TFT6.2W E6282 Black,TV and Video,Car Video,Southridge Video,Asia,Australia
10883,10/19/2019,2019,10,Oct,12,4591000,55092000,8748000,Sosial Media,Fabrikam Laptop13.3W M3080 Red,Computers,Laptops,"Fabrikam, Inc.",Asia,Australia
12336,9/17/2019,2019,9,Sep,9,310000,2790000,2025000,Sosial Media,Contoso 4 Handset Cordless Phone System M86 White,Cell phones,Home & Office Phones,"Contoso, Ltd",Asia,Australia
16022,6/12/2019,2019,6,Jun,13,546000,7098000,3731000,Sosial Media,Contoso Integrated Business Phone With card L10 White,Cell phones,Home & Office Phones,"Contoso, Ltd",Asia,Australia
16100,12/27/2019,2019,12,Dec,6,86000,516000,216000,Sosial Media,Contoso Phone with Memory Dialing-single line E88 White,Cell phones,Home & Office Phones,"Contoso, Ltd",Asia,Australia
16465,8/2/2019,2019,8,Aug,4,881000,3524000,2320000,Sosial Media,SV Car Video TFT6.2W E6281 Silver,TV and Video,Car Video,Southridge Video,Asia,Australia
16476,8/31/2019,2019,8,Aug,4,800000,3200000,444000,Sosial Media,The Phone Company Touch Screen Phones - LCD M12 Gold,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
18284,10/8/2019,2019,10,Oct,12,5760000,69120000,61536000,Sosial Media,Contoso Home Theater System 4.1 Channel M1420 Brown,TV and Video,Home Theater System,"Contoso, Ltd",Asia,Australia
18525,7/16/2019,2019,7,Jul,9,104000,936000,243000,Sosial Media,SV DVD 55DVD Storage Binder M56 Red,Movies,Movie DVD,Southridge Video,Asia,Australia
19439,12/2/2019,2019,12,Dec,12,9828000,117936000,43584000,Sosial Media,WWI LCD24 X300 White,Computers,Monitors,Wide World Importers,Asia,Australia
21944,8/19/2019,2019,8,Aug,9,2378000,21402000,7110000,Sosial Media,SV DVD 15-Inch Player Portable L200 White,Movies,Movie DVD,Southridge Video,Asia,Australia
7443,12/19/2020,2020,12,Dec,12,3720000,44640000,3864000,Sosial Media,The Phone Company PDA Wifi 3.7-inch M250 White,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Australia
7187,4/26/2020,2020,4,Apr,13,4883000,63479000,54730000,Sosial Media,The Phone Company PDA Wifi 4.7-inch L290 White,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Australia
1818,5/3/2020,2020,5,May,6,1078000,6468000,3642000,Sosial Media,The Phone Company Touch Screen Phones - CRT M11 Black,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
2505,3/16/2020,2020,3,Mar,10,7636000,76360000,56460000,Sosial Media,"Adventure Works 42"" LCD HDTV M55 Black",TV and Video,Televisions,Adventure Works,Asia,Australia
3240,11/15/2020,2020,11,Nov,12,319000,3828000,1800000,Sosial Media,Contoso KSU-less key system M38 White,Cell phones,Home & Office Phones,"Contoso, Ltd",Asia,Australia
3575,5/28/2020,2020,5,May,13,16498000,214474000,188539000,Sosial Media,Adventure Works Laptop19W X1980 Red,Computers,Laptops,Adventure Works,Asia,Australia
3983,12/9/2020,2020,12,Dec,12,3468000,41616000,37836000,Sosial Media,The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Black,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
4517,6/17/2020,2020,6,Jun,13,12675000,164775000,97786000,Sosial Media,Fabrikam Trendsetter 1/3'' 8.5mm X200 Grey,Cameras,Camcorders,"Fabrikam, Inc.",Asia,Australia
5026,12/22/2020,2020,12,Dec,12,8388000,100656000,16644000,Sosial Media,Contoso Projector 720p M620 Black,Computers,Projectors & Screens,"Contoso, Ltd",Asia,Australia
6080,11/21/2020,2020,11,Nov,12,471000,5652000,5196000,Sosial Media,Contoso Leather Case - case for digital photo camera X20 Black,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
6149,5/20/2020,2020,5,May,13,2032000,26416000,25337000,Sosial Media,SV DVD 9-Inch Player Portable M300 Black,Movies,Movie DVD,Southridge Video,Asia,Australia
6499,7/21/2020,2020,7,Jul,9,1733000,15597000,6408000,Sosial Media,A. Datum SLR-like Digital Camera M400 Pink,Cameras,Digital Cameras,A. Datum Corporation,Asia,Australia
6764,11/23/2020,2020,11,Nov,12,3894000,46728000,-432000,Sosial Media,Fabrikam Laptop14.1 E4101 Red,Computers,Laptops,"Fabrikam, Inc.",Asia,Australia
6776,5/25/2020,2020,5,May,6,1170000,7020000,1044000,Sosial Media,The Phone Company Touch Screen Phones - LCD M12 Black,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
9303,2/5/2020,2020,2,Feb,5,1395000,6975000,5340000,Sosial Media,SV Car Video TFT6.2W E6280 Brown,TV and Video,Car Video,Southridge Video,Asia,Australia
9401,9/20/2020,2020,9,Sep,9,872000,7848000,-306000,Sosial Media,WWI CRT17 E106 White,Computers,Monitors,Wide World Importers,Asia,Australia
9449,10/7/2020,2020,10,Oct,12,27540000,330480000,115872000,Sosial Media,Contoso Projector 1080p X980 Black,Computers,Projectors & Screens,"Contoso, Ltd",Asia,Australia
9536,12/12/2020,2020,12,Dec,12,4056000,48672000,12792000,Sosial Media,"A. Datum SLR Camera 35"" M358 Grey",Cameras,Digital SLR Cameras,A. Datum Corporation,Asia,Australia
9581,7/18/2020,2020,7,Jul,9,5624000,50616000,40221000,Sosial Media,Litware Home Theater System 5.1 Channel M510 Silver,TV and Video,Home Theater System,"Litware, Inc.",Asia,Australia
10240,1/29/2020,2020,1,Jan,5,800000,4000000,3550000,Sosial Media,"Fabrikam Social Videographer 2/3"" 17mm E100 Orange",Cameras,Camcorders,"Fabrikam, Inc.",Asia,Australia
10298,9/5/2020,2020,9,Sep,9,4206000,37854000,10539000,Sosial Media,Contoso Home Theater System 5.1 Channel M1510 Brown,TV and Video,Home Theater System,"Contoso, Ltd",Asia,Australia
10549,5/17/2020,2020,5,May,6,383000,2298000,-36000,Sosial Media,Proseware CRT19 E201 Black,Computers,Monitors,"Proseware, Inc.",Asia,Australia
18291,2/1/2021,2021,2,Feb,40,4000000,160000000,4480000,Reseller,NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,Bluetooth Headphones,Northwind Traders,Asia,Cina
10891,3/29/2020,2020,3,Mar,10,95000,950000,310000,Sosial Media,Contoso Education Essentials Bundle M300 Black,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
10922,6/27/2020,2020,6,Jun,13,7468000,97084000,71188000,Sosial Media,"A. Datum SLR Camera 35"" X358 Grey",Cameras,Digital SLR Cameras,A. Datum Corporation,Asia,Australia
11061,11/9/2020,2020,11,Nov,12,3364000,40368000,33204000,Sosial Media,A. Datum Super-zoom Digital Camera X300 Black,Cameras,Digital Cameras,A. Datum Corporation,Asia,Australia
12527,2/5/2020,2020,2,Feb,5,250000,1250000,160000,Sosial Media,Contoso Carrying Case E312 Pink,Cameras,Cameras & Camcorders Accessories,"Contoso, Ltd",Asia,Australia
5282,11/2/2021,2021,11,Nov,40,520000,20800000,2120000,Reseller,Contoso 512MB MP3 Player E51 Blue,Audio,MP4&MP3,"Contoso, Ltd",Eropa,Perancis
13521,7/31/2020,2020,7,Jul,9,2691000,24219000,1134000,Sosial Media,SV Car Video TFT7 M7000 Silver,TV and Video,Car Video,Southridge Video,Asia,Australia
13637,5/30/2020,2020,5,May,13,2749000,35737000,12597000,Sosial Media,Contoso DVD Recorder L200 Black,Movies,Movie DVD,"Contoso, Ltd",Asia,Australia
13772,5/14/2020,2020,5,May,18,4737000,85266000,-1998000,Sosial Media,WWI Desktop PC1.80 E1801 White,Computers,Desktops,Wide World Importers,Asia,Australia
13951,3/10/2020,2020,3,Mar,10,15600000,156000000,58850000,Sosial Media,Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey,Cameras,Camcorders,"Fabrikam, Inc.",Asia,Australia
14372,8/31/2020,2020,8,Aug,9,1712000,15408000,-378000,Sosial Media,SV Car Video AM/FM E1000 Brown,TV and Video,Car Video,Southridge Video,Asia,Australia
14842,7/6/2020,2020,7,Jul,9,152000,1368000,639000,Sosial Media,Contoso DVD 48 DVD Storage Binder M50 Red,Movies,Movie DVD,"Contoso, Ltd",Asia,Australia
16722,3/14/2020,2020,3,Mar,5,65000,325000,310000,Sosial Media,Contoso Mouse Lock Bundle E200 Black,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
17289,7/9/2020,2020,7,Jul,18,1187000,21366000,10854000,Sosial Media,Adventure Works CRT19 E10 Black,Computers,Monitors,Adventure Works,Asia,Australia
17354,11/26/2020,2020,11,Nov,12,2785000,33420000,28116000,Sosial Media,Proseware Slim-Design Fax Machine with Answering System X180 White,Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Australia
17601,4/6/2020,2020,4,Apr,6,1194000,7164000,1122000,Sosial Media,SV Car Video AM/FM E1000 Black,TV and Video,Car Video,Southridge Video,Asia,Australia
17746,12/28/2020,2020,12,Dec,12,1980000,23760000,20292000,Sosial Media,Fabrikam Social Videographer 1/3'' 8.5mm E200 Grey,Cameras,Camcorders,"Fabrikam, Inc.",Asia,Australia
18139,10/23/2020,2020,10,Oct,12,1179000,14148000,4440000,Sosial Media,SV Wireless LAN PCI Network Card Adapter E901 Black,Computers,Computers Accessories,Southridge Video,Asia,Australia
18275,1/28/2020,2020,1,Jan,10,5000000,50000000,45280000,Sosial Media,SV Car Video LCD7W M7080 Black,TV and Video,Car Video,Southridge Video,Asia,Australia
18298,2/15/2020,2020,2,Feb,10,2300000,23000000,22670000,Sosial Media,"The Phone Company Touch Screen Phones 26-2.2"" M200 Grey",Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
18313,11/9/2020,2020,11,Nov,12,2771000,33252000,17196000,Sosial Media,Contoso Laptop Keyboard X105 Silver,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
18437,1/11/2020,2020,1,Jan,5,645000,3225000,2915000,Sosial Media,Adventure Works LCD17W E203 White,Computers,Monitors,Adventure Works,Asia,Australia
20735,9/25/2020,2020,9,Sep,40,7998000,319920000,2640000,Toko,WWI 2GB Pulse Smart pen M100 Blue,Audio,Recording Pen,Wide World Importers,Amerika,USA
19181,4/29/2020,2020,4,Apr,6,238000,1428000,1002000,Sosial Media,SV Keyboard E10 White,Computers,Computers Accessories,Southridge Video,Asia,Australia
19943,5/11/2020,2020,5,May,13,5475000,71175000,68068000,Sosial Media,"Fabrikam SLR Camera 35"" X358 Blue",Cameras,Digital SLR Cameras,"Fabrikam, Inc.",Asia,Australia
19945,10/18/2020,2020,10,Oct,12,29489000,353868000,353124000,Sosial Media,Proseware Projector 1080p DLP86 Black,Computers,Projectors & Screens,"Proseware, Inc.",Asia,Australia
20560,3/13/2020,2020,3,Mar,10,3380000,33800000,16060000,Sosial Media,"A. Datum SLR Camera 35"" M358 Orange",Cameras,Digital SLR Cameras,A. Datum Corporation,Asia,Australia
21234,9/24/2020,2020,9,Sep,9,1558000,14022000,2169000,Sosial Media,Proseware Office Jet Wireless All-in-One Inkjet Printer M600 White,Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Australia
21986,6/24/2020,2020,6,Jun,13,5207000,67691000,-1924000,Sosial Media,Fabrikam Budget Moviemaker 2/3'' 17mm E100 White,Cameras,Camcorders,"Fabrikam, Inc.",Asia,Australia
7104,6/30/2021,2021,6,Jun,13,9926000,129038000,38688000,Sosial Media,"Adventure Works 42"" LCD HDTV M55 Black",TV and Video,Televisions,Adventure Works,Asia,Australia
1145,5/28/2021,2021,5,May,13,3809000,49517000,22789000,Sosial Media,Contoso Touch Screen Phones SAW/On-wall M806 Black,Cell phones,Touch Screen Phones ,"Contoso, Ltd",Asia,Australia
1385,1/29/2021,2021,1,Jan,10,229000,2290000,1000000,Sosial Media,Contoso ADSL Modem Splitter/Filter X 2 E200 Black,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
1172,5/8/2021,2021,5,May,13,458000,5954000,5460000,Sosial Media,Contoso 2-Line Speakerphone M109 White,Cell phones,Home & Office Phones,"Contoso, Ltd",Asia,Australia
2243,2/28/2021,2021,2,Feb,10,9990000,99900000,68320000,Sosial Media,Proseware Projector 720p DLP56 Black,Computers,Projectors & Screens,"Proseware, Inc.",Asia,Australia
2346,1/30/2021,2021,1,Jan,10,159000,1590000,1540000,Sosial Media,Contoso USB Wave Multi-media Keyboard E280 White,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
2428,1/17/2021,2021,1,Jan,10,130000,1300000,390000,Sosial Media,Contoso Optical Wheel OEM PS/2 Mouse E60 Grey,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
2834,9/19/2021,2021,9,Sep,9,5926000,53334000,12231000,Sosial Media,Litware Home Theater System 5.1 Channel M513 Silver,TV and Video,Home Theater System,"Litware, Inc.",Asia,Australia
3104,6/9/2021,2021,6,Jun,13,3151000,40963000,11310000,Sosial Media,WWI Screen 106in M1609 Black,Computers,Projectors & Screens,Wide World Importers,Asia,Australia
3138,4/7/2021,2021,4,Apr,13,7392000,96096000,35139000,Sosial Media,"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Black",Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
3334,10/5/2021,2021,10,Oct,12,2413000,28956000,25524000,Sosial Media,The Phone Company Smart phones 160x160 M26 Pink,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Australia
8386,5/21/2021,2021,5,May,39,3840000,149760000,43563000,Reseller,NT Wireless Bluetooth Stereo Headphones M402 Purple,Audio,Bluetooth Headphones,Northwind Traders,Asia,Cina
4137,1/4/2021,2021,1,Jan,200,812000,162400000,79800000,Sosial Media,Contoso Original K1m Li-Ion Standard Battery E170 Black,Cell phones,Cell phones Accessories,"Contoso, Ltd",Asia,Australia
4283,10/3/2021,2021,10,Oct,12,3984000,47808000,13584000,Sosial Media,Fabrikam SLR Camera M148 Silver Grey,Cameras,Digital SLR Cameras,"Fabrikam, Inc.",Asia,Australia
4514,5/9/2021,2021,5,May,260,2595000,674700000,449020000,Sosial Media,Contoso Touch Stylus Pen E150 White,Cell phones,Cell phones Accessories,"Contoso, Ltd",Asia,Australia
4570,11/7/2021,2021,11,Nov,6,1249000,7494000,4020000,Sosial Media,Contoso DVD Recorder L210 Silver,Movies,Movie DVD,"Contoso, Ltd",Asia,Australia
4585,2/10/2021,2021,2,Feb,10,95000,950000,910000,Sosial Media,Contoso Education Essentials Bundle M300 Grey,Computers,Computers Accessories,"Contoso, Ltd",Asia,Australia
4975,5/31/2021,2021,5,May,13,2056000,26728000,23322000,Sosial Media,Fabrikam Social Videographer 2/3'' 17mm E100 Black,Cameras,Camcorders,"Fabrikam, Inc.",Asia,Australia
5264,9/16/2021,2021,9,Sep,180,23347000,4202460000,2875320000,Sosial Media,Contoso Bluetooth Active Headphones L15 White,Cell phones,Cell phones Accessories,"Contoso, Ltd",Asia,Australia
5455,1/22/2021,2021,1,Jan,10,1600000,16000000,12090000,Sosial Media,Contoso DVD 9-Inch Player Portable M300 Black,Movies,Movie DVD,"Contoso, Ltd",Asia,Australia
5520,5/15/2021,2021,5,May,13,2990000,38870000,22165000,Sosial Media,The Phone Company Smart phones 6-LINE SCREEN M21 Pink,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Australia
6881,10/28/2021,2021,10,Oct,12,7056000,84672000,29292000,Sosial Media,"A. Datum SLR Camera 35"" X358 Blue",Cameras,Digital SLR Cameras,A. Datum Corporation,Asia,Australia
7889,3/15/2021,2021,3,Mar,10,180000,1800000,1470000,Sosial Media,SV DVD 48 DVD Storage Binder M50 Black,Movies,Movie DVD,Southridge Video,Asia,Australia
8305,3/15/2021,2021,3,Mar,10,2000000,20000000,12320000,Sosial Media,A. Datum Rangefinder Digital Camera X200 Pink,Cameras,Digital Cameras,A. Datum Corporation,Asia,Australia
10611,12/7/2021,2021,12,Dec,6,13770000,82620000,37206000,Sosial Media,WWI Projector 1080p LCD86 Black,Computers,Projectors & Screens,Wide World Importers,Asia,Australia
10674,2/14/2021,2021,2,Feb,10,2990000,29900000,9550000,Sosial Media,Contoso Screen 113in M251 White,Computers,Projectors & Screens,"Contoso, Ltd",Asia,Australia
11386,10/29/2021,2021,10,Oct,12,4558000,54696000,32748000,Sosial Media,Fabrikam Laptop10.1 M0100 White,Computers,Laptops,"Fabrikam, Inc.",Asia,Australia
11493,2/8/2021,2021,2,Feb,10,11850000,118500000,48150000,Sosial Media,"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,Televisions,Adventure Works,Asia,Australia
11674,9/2/2021,2021,9,Sep,18,1229000,22122000,3006000,Sosial Media,SV 8xDVD E100 Silver,TV and Video,VCD & DVD,Southridge Video,Asia,Australia
11747,8/30/2021,2021,8,Aug,18,775000,13950000,6822000,Sosial Media,SV Keyboard E10 Grey,Computers,Computers Accessories,Southridge Video,Asia,Australia
12454,11/4/2021,2021,11,Nov,24,1304000,31296000,19368000,Sosial Media,SV 2GB Laptop memory E800 White,Computers,Computers Accessories,Southridge Video,Asia,Australia
13119,12/28/2021,2021,12,Dec,12,3060000,36720000,30504000,Sosial Media,The Phone Company PDA Handheld 3.5 inch M610 Silver,Cell phones,Smart phones & PDAs ,The Phone Company,Asia,Australia
13457,11/24/2021,2021,11,Nov,12,3573000,42876000,40344000,Sosial Media,The Phone Company Touch Screen Phones Capacitive M908 Black,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Australia
13585,9/4/2021,2021,9,Sep,9,1136000,10224000,3960000,Sosial Media,Proseware Ink Jet Wireless All-In-One Printer M400 Green,Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Australia
15315,10/22/2021,2021,10,Oct,12,4980000,59760000,30924000,Sosial Media,Fabrikam Budget Moviemaker 1'' 25mm E400 White,Cameras,Camcorders,"Fabrikam, Inc.",Asia,Australia
